Component,Is_Breaker
Line.line_ban_2003_2202,0
Line.line_ban_2004_2206,0
Line.line_ban_2005_2212,0
Line.line_ban_2006_2216,0
Line.line_ban_2007_2218,0
Line.line_ban_2008_2220,0
Line.line_ban_2009_2224,0
Line.line_ban_2010_2011,0
Line.line_ban_2011_2226,0
Line.line_ban_2012_2227,0
Line.line_ban_2013_2228,0
Line.line_ban_2014_2229,0
Line.line_ban_2015_2231,0
Line.line_ban_2016_2232,0
Line.line_ban_2017_2233,0
Line.line_ban_2018_2236,0
Line.line_ban_2019_2238,0
Line.line_ban_2020_2021,0
Line.line_ban_2021_2022,0
Line.line_ban_2022_2023,0
Line.line_ban_2023_2024,0
Line.line_ban_2024_2025,0
Line.line_ban_2025_2026,0
Line.line_ban_2026_2027,0
Line.line_ban_2027_2028,0
Line.line_ban_2028_2029,0
Line.line_ban_2029_2030,0
Line.line_ban_2030_2031,0
Line.line_ban_2031_2032,0
Line.line_ban_2032_2052,0
Line.line_ban_2033_2034,0
Line.line_ban_2034_2035,0
Line.line_ban_2035_2036,0
Line.line_ban_2036_2037,0
Line.line_ban_2037_2038,0
Line.line_ban_2038_2039,0
Line.line_ban_2039_2040,0
Line.line_ban_2040_2041,0
Line.line_ban_2041_2042,0
Line.line_ban_2042_2043,0
Line.line_ban_2043_2044,0
Line.line_ban_2044_2045,0
Line.line_ban_2045_2046,0
Line.line_ban_2046_2060,0
Line.line_ban_2047_2048,0
Line.line_ban_2048_2049,0
Line.line_ban_2049_2050,0
Line.line_ban_2050_2051,0
Line.line_ban_2052_2033,0
Line.line_ban_2052_2053,0
Line.line_ban_2053_2054,0
Line.line_ban_2054_2195,0
Line.line_ban_2055_2056,0
Line.line_ban_2056_2057,0
Line.line_ban_2057_2058,0
Line.line_ban_2058_2059,0
Line.line_ban_2060_2047,0
Line.line_ban_2060_2061,0
Line.line_ban_2061_2062,0
Line.line_ban_2062_2063,0
Line.line_ban_2063_2064,0
Line.line_ban_2064_2065,0
Line.line_ban_2065_2066,0
Line.line_ban_2066_2067,0
Line.line_ban_2067_2068,0
Line.line_ban_2068_2069,0
Line.line_ban_2069_2070,0
Line.line_ban_2070_2071,0
Line.line_ban_2071_2072,0
Line.line_ban_2072_2073,0
Line.line_ban_2073_2074,0
Line.line_ban_2074_2075,0
Line.line_ban_2075_2076,0
Line.line_ban_2076_2077,0
Line.line_ban_2077_2078,0
Line.line_ban_2078_2079,0
Line.line_ban_2079_2080,0
Line.line_ban_2080_2081,0
Line.line_ban_2081_2148,0
Line.line_ban_2082_2083,0
Line.line_ban_2083_2084,0
Line.line_ban_2084_2085,0
Line.line_ban_2085_2086,0
Line.line_ban_2086_2087,0
Line.line_ban_2087_2088,0
Line.line_ban_2088_2089,0
Line.line_ban_2089_2090,0
Line.line_ban_2090_2091,0
Line.line_ban_2091_2092,0
Line.line_ban_2092_2093,0
Line.line_ban_2093_2094,0
Line.line_ban_2094_2095,0
Line.line_ban_2095_2096,0
Line.line_ban_2096_2097,0
Line.line_ban_2097_2098,0
Line.line_ban_2098_2242,0
Line.line_ban_2099_2100,0
Line.line_ban_2100_2101,0
Line.line_ban_2101_2102,0
Line.line_ban_2102_2103,0
Line.line_ban_2103_2104,0
Line.line_ban_2104_2105,0
Line.line_ban_2105_2106,0
Line.line_ban_2106_2107,0
Line.line_ban_2107_2108,0
Line.line_ban_2108_2109,0
Line.line_ban_2109_2110,0
Line.line_ban_2110_2111,0
Line.line_ban_2111_2112,0
Line.line_ban_2112_2113,0
Line.line_ban_2113_2114,0
Line.line_ban_2114_2115,0
Line.line_ban_2115_2116,0
Line.line_ban_2116_2117,0
Line.line_ban_2117_2118,0
Line.line_ban_2118_2119,0
Line.line_ban_2119_2120,0
Line.line_ban_2120_2121,0
Line.line_ban_2121_2243,0
Line.line_ban_2122_2123,0
Line.line_ban_2123_2124,0
Line.line_ban_2124_2125,0
Line.line_ban_2125_2126,0
Line.line_ban_2126_2127,0
Line.line_ban_2127_2128,0
Line.line_ban_2128_2129,0
Line.line_ban_2129_2130,0
Line.line_ban_2130_2131,0
Line.line_ban_2131_2132,0
Line.line_ban_2132_2133,0
Line.line_ban_2133_2134,0
Line.line_ban_2134_2135,0
Line.line_ban_2135_2136,0
Line.line_ban_2136_2137,0
Line.line_ban_2137_2138,0
Line.line_ban_2138_2139,0
Line.line_ban_2139_2140,0
Line.line_ban_2140_2141,0
Line.line_ban_2141_2142,0
Line.line_ban_2142_2143,0
Line.line_ban_2143_2144,0
Line.line_ban_2144_2145,0
Line.line_ban_2145_2146,0
Line.line_ban_2146_2147,0
Line.line_ban_2149_2150,0
Line.line_ban_2150_2151,0
Line.line_ban_2151_2152,0
Line.line_ban_2152_2153,0
Line.line_ban_2153_2154,0
Line.line_ban_2154_2155,0
Line.line_ban_2155_2156,0
Line.line_ban_2156_2157,0
Line.line_ban_2157_2158,0
Line.line_ban_2158_2159,0
Line.line_ban_2159_2166,0
Line.line_ban_2160_2161,0
Line.line_ban_2161_2162,0
Line.line_ban_2162_2163,0
Line.line_ban_2163_2164,0
Line.line_ban_2164_2165,0
Line.line_ban_2166_2160,0
Line.line_ban_2166_2167,0
Line.line_ban_2167_2168,0
Line.line_ban_2168_2169,0
Line.line_ban_2169_2170,0
Line.line_ban_2170_2171,0
Line.line_ban_2171_2172,0
Line.line_ban_2172_2173,0
Line.line_ban_2173_2174,0
Line.line_ban_2174_2175,0
Line.line_ban_2175_2176,0
Line.line_ban_2176_2177,0
Line.line_ban_2177_2178,0
Line.line_ban_2178_2179,0
