Component,failure_rate_lambda
Load.lub_9018,0.001
Load.lub_9019,0.001
Load.lub_9021,0.001
Load.lub_9022,0.001
Load.lub_9024,0.001
Load.lub_9080,0.001
Load.lub_9109,0.001
Load.lub_9137,0.001
Load.lub_9150,0.001
Load.lub_9158,0.001
Load.lub_9173,0.001
Load.lub_9179,0.001
Load.lub_9186,0.001
Load.lub_9190,0.001
Load.lub_9214,0.001
Load.lub_9232,0.001
Load.lub_9238,0.001
Load.lub_9240,0.001
Load.lub_9244,0.001
Load.lub_9248,0.001
Load.lub_9253,0.001
Load.lub_9263,0.001
Load.lub_9269,0.001
Load.lub_9270,0.001
Load.lub_9274,0.001
Load.lub_9283,0.001
Load.lub_9287,0.001
Load.lub_9288,0.001
Load.lub_9289,0.001
Load.lub_9300,0.001
Load.lub_9304,0.001
Load.lub_9306,0.001
Load.lub_9317,0.001
Load.lub_9321,0.001
Load.lub_9327,0.001
Load.lub_9328,0.001
Load.lub_9330,0.001
Load.lub_9331,0.001
Load.lub_9341,0.001
Load.lub_9343,0.001
Load.lub_9348,0.001
Load.lub_9351,0.001
Load.lub_9380,0.001
Load.lub_9384,0.001
Load.lub_9385,0.001
Load.lub_9387,0.001
Load.lub_9393,0.001
Load.lub_9399,0.001
Load.lub_9404,0.001
Load.lub_9406,0.001
Load.lub_9407,0.001
Load.lub_9417,0.001
Load.lub_9421,0.001
Load.lub_9422,0.001
Load.lub_9423,0.001
Load.lub_9424,0.001
Load.lub_9428,0.001
Load.lub_9431,0.001
Load.lub_9433,0.001
Load.lub_9440,0.001
Load.lub_9445,0.001
Load.lub_9450,0.001
Load.lub_9452,0.001
Load.lub_9462,0.001
Load.lub_9465,0.001
Load.lub_9467,0.001
Load.lub_9473,0.001
Load.lub_9477,0.001
Load.lub_9482,0.001
Load.lub_9484,0.001
Load.lub_9487,0.001
Load.lub_9490,0.001
Load.lub_9494,0.001
Load.lub_9496,0.001
Load.lub_9497,0.001
Load.lub_9498,0.001
Load.new_10103,0.001
Load.new_10113,0.001
Load.new_10126,0.001
Load.new_10136,0.001
Load.new_10139,0.001
Load.new_10140,0.001
Load.new_10142,0.001
Load.new_10147,0.001
Load.new_10166,0.001
Load.new_10178,0.001
Load.new_10183,0.001
Load.new_10190,0.001
Load.new_10197,0.001
Load.new_10223,0.001
Load.new_10224,0.001
Load.new_10229,0.001
Load.new_10237,0.001
Load.new_10240,0.001
Load.new_10241,0.001
Load.new_10249,0.001
Load.new_10250,0.001
Load.san_11002,0.001
Load.san_11003,0.001
Load.san_11022,0.001
Load.san_11026,0.001
Load.san_11041,0.001
Load.san_11047,0.001
Load.san_11049,0.001
Load.san_11054,0.001
Load.san_11062,0.001
Load.san_11185,0.001
Load.san_11103,0.001
Load.san_11110,0.001
Load.san_11112,0.001
Load.san_11118,0.001
Load.san_11121,0.001
Load.san_11123,0.001
Load.san_11131,0.001
Load.san_11152,0.001
Load.san_11163,0.001
Load.san_11171,0.001
Load.san_11178,0.001
Load.san_11182,0.001
Vsource.source,1e-10
